round,client_id,client_seed,images,local_epochs,loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1033,3796,1,0.7218966484069824,0.7352752685546875,0.6896135210990906,15.581523720785306,41.058796882629395
1,1,1034,3796,1,0.54378741979599,0.7628626823425293,0.3642113208770752,14.229801041319776,41.202577114105225
1,2,1035,3796,1,0.4323122799396515,0.7134483456611633,0.20040638744831085,13.064368943081965,41.565221309661865
1,3,1036,3797,1,0.5216615796089172,0.7826639413833618,0.38164710998535156,14.912560063471227,41.55231070518494
1,4,1037,3796,1,0.6262850165367126,0.7791650891304016,0.555574893951416,15.695794177290932,41.47712421417236
2,0,2033,3796,1,0.7058850526809692,0.7548748254776001,0.7141717672348022,15.034642486899488,41.56994915008545
2,1,2034,3796,1,0.5178678035736084,0.7890174388885498,0.43104249238967896,13.076145135627508,41.66872715950012
2,2,2035,3796,1,0.4046154320240021,0.7708089351654053,0.22924257814884186,12.154748549314803,41.251689195632935
2,3,2036,3797,1,0.49025797843933105,0.812669575214386,0.43225544691085815,10.952107713175035,41.34783577919006
2,4,2037,3796,1,0.6082632541656494,0.7943596839904785,0.5700656771659851,12.946492865379561,41.15872526168823
3,0,3033,3796,1,0.7006630897521973,0.7602696418762207,0.7239568829536438,15.770551751868869,41.37699294090271
3,1,3034,3796,1,0.4986467957496643,0.8083328008651733,0.43941643834114075,11.612510412435286,41.38812494277954
3,2,3035,3796,1,0.39461928606033325,0.7776457667350769,0.2684447765350342,13.014423267693871,41.55950903892517
3,3,3036,3797,1,0.4959403872489929,0.8079434633255005,0.42347949743270874,13.967330259266884,41.635772943496704
3,4,3037,3796,1,0.5985239744186401,0.800757884979248,0.5743259191513062,11.437223651660272,69.59228610992432
4,0,4033,3796,1,0.6927341818809509,0.7591881155967712,0.724138617515564,22.339874394149916,1039.7544169425964
4,1,4034,3796,1,0.4978580176830292,0.8085589408874512,0.4505353569984436,11.509551134004681,230.578763961792
4,2,4035,3796,1,0.390009343624115,0.7846494913101196,0.27022790908813477,14.063620955187913,41.15028715133667
4,3,4036,3797,1,0.4788525402545929,0.8222001194953918,0.4353277087211609,17.168806487413494,41.61085295677185
4,4,4037,3796,1,0.5886995196342468,0.8078292608261108,0.5790879130363464,13.293832279325686,41.26426601409912
5,0,5033,3796,1,0.6928523182868958,0.7635584473609924,0.7201809883117676,18.971013211554126,41.2217071056366
5,1,5034,3796,1,0.4839985966682434,0.818810224533081,0.48711273074150085,10.17178896155213,41.17957401275635
5,2,5035,3796,1,0.38259950280189514,0.7947489023208618,0.26605838537216187,10.876004333656399,41.15044116973877
5,3,5036,3797,1,0.478015273809433,0.8219102621078491,0.44531673192977905,11.184218880000678,41.557191133499146
5,4,5037,3796,1,0.5859612822532654,0.8097232580184937,0.5855284929275513,12.407463040670308,41.392985105514526
6,0,6033,3796,1,0.6818200349807739,0.7719740271568298,0.7355368137359619,19.04048409198516,41.134345054626465
6,1,6034,3796,1,0.4869347810745239,0.8150663375854492,0.47933849692344666,11.15077974283924,41.23324990272522
6,2,6035,3796,1,0.38198158144950867,0.793068528175354,0.2854304909706116,13.99020198142019,41.39961004257202
6,3,6036,3797,1,0.47925305366516113,0.8200367093086243,0.4420667290687561,11.708331164877693,41.30681586265564
6,4,6037,3796,1,0.580249547958374,0.8130899667739868,0.6020283699035645,11.545208114645026,40.985899925231934
7,0,7033,3796,1,0.6819430589675903,0.7710040807723999,0.7217405438423157,15.968754343112217,41.38150215148926
7,1,7034,3796,1,0.48318231105804443,0.8193602561950684,0.46959298849105835,9.40001683979982,41.540481090545654
7,2,7035,3796,1,0.3815042972564697,0.7939735651016235,0.2705513834953308,12.311625761977819,41.118069887161255
7,3,7036,3797,1,0.4767988622188568,0.8212073445320129,0.4612627923488617,8.588214855571037,40.98646306991577
7,4,7037,3796,1,0.5731455087661743,0.8170508742332458,0.6115601658821106,9.868265724244834,41.324930906295776
8,0,8033,3796,1,0.6824544668197632,0.7714406847953796,0.7305124998092651,17.269913387511522,40.978402853012085
8,1,8034,3796,1,0.4818847179412842,0.8190021514892578,0.4645729959011078,10.586691543656867,40.89397192001343
8,2,8035,3796,1,0.37266242504119873,0.802459716796875,0.296678364276886,9.018072718899301,1036.0034239292145
8,3,8036,3797,1,0.4668034017086029,0.8296697735786438,0.44766300916671753,9.297053813477856,38.28870511054993
8,4,8037,3796,1,0.5747974514961243,0.8165647387504578,0.6024898290634155,9.93540059233736,38.84058690071106
9,0,9033,3796,1,0.681123673915863,0.7684541344642639,0.7203784584999084,18.593820289549505,40.27756690979004
9,1,9034,3796,1,0.47203952074050903,0.8275367021560669,0.48308274149894714,9.7190567143586,40.50564932823181
9,2,9035,3796,1,0.38030317425727844,0.7932522892951965,0.2660450339317322,12.503396252398588,41.006924867630005
9,3,9036,3797,1,0.46192994713783264,0.8324570059776306,0.45722147822380066,8.4568464377563,41.18492269515991
9,4,9037,3796,1,0.5761574506759644,0.8151484727859497,0.6059488654136658,10.705301071349547,41.5708749294281
10,0,10033,3796,1,0.6838437914848328,0.7695896029472351,0.7315922379493713,17.927757663060877,42.021713972091675
10,1,10034,3796,1,0.4722883105278015,0.8263905644416809,0.48773306608200073,9.416601126503938,55.44717288017273
10,2,10035,3796,1,0.3752376437187195,0.7977393865585327,0.2819454073905945,9.987793694267879,43.557339906692505
10,3,10036,3797,1,0.45878612995147705,0.834324061870575,0.4607340097427368,9.109681060548072,45.640657901763916
10,4,10037,3796,1,0.5644199848175049,0.8218835592269897,0.6203719973564148,9.858036588143795,1067.625913143158
11,0,11033,3796,1,0.6734800934791565,0.7733091711997986,0.7355280518531799,20.69508828350892,959.3484809398651
11,1,11034,3796,1,0.4737236797809601,0.8238682746887207,0.46641331911087036,8.352051660195544,1069.418965101242
11,2,11035,3796,1,0.3707829713821411,0.8048305511474609,0.2881934642791748,10.813122015246714,970.4892752170563
11,3,11036,3797,1,0.4615020453929901,0.8310761451721191,0.45070791244506836,9.029242595886403,38.857698917388916
11,4,11037,3796,1,0.5708164572715759,0.8169952034950256,0.604247510433197,9.501759066724608,38.59937405586243
12,0,12033,3796,1,0.6652106642723083,0.7800149917602539,0.7464631199836731,15.27859883287546,40.72999024391174
12,1,12034,3796,1,0.47160404920578003,0.8261715769767761,0.49632471799850464,9.900015345316673,41.39976096153259
12,2,12035,3796,1,0.3785897195339203,0.7905622720718384,0.2640202045440674,13.312625607231668,41.99325489997864
12,3,12036,3797,1,0.4638601243495941,0.8289065361022949,0.4598039388656616,8.747614858554456,41.594995975494385
12,4,12037,3796,1,0.5722488164901733,0.815619945526123,0.6212045550346375,9.82872056111068,42.06792902946472
13,0,13033,3796,1,0.6683232188224792,0.7784693241119385,0.7479065656661987,16.571988674850264,42.00563097000122
13,1,13034,3796,1,0.46066761016845703,0.8336973190307617,0.5003979206085205,9.760194802533189,42.025927782058716
13,2,13035,3796,1,0.3709160387516022,0.8008912801742554,0.29035577178001404,10.5509935371099,42.747774839401245
13,3,13036,3797,1,0.4645407795906067,0.8268517851829529,0.47300899028778076,9.806432891116055,53.45699405670166
13,4,13037,3796,1,0.5579995512962341,0.824242353439331,0.6113165020942688,8.274032611091167,43.993407011032104
14,0,14033,3796,1,0.6604519486427307,0.7828672528266907,0.7412368059158325,16.1868590167441,44.66523003578186
14,1,14034,3796,1,0.45938873291015625,0.8350588083267212,0.5013746023178101,11.23301771523632,44.789735078811646
14,2,14035,3796,1,0.36454951763153076,0.8092986345291138,0.2934376895427704,10.55511335542824,44.64724802970886
14,3,14036,3797,1,0.456024706363678,0.8340775966644287,0.469595730304718,9.218089753709918,719.4385821819305
14,4,14037,3796,1,0.5588164329528809,0.8229814767837524,0.6189510226249695,9.541610235392273,1038.1839528083801
15,0,15033,3796,1,0.6552265286445618,0.7867406010627747,0.7420864701271057,12.454209716182405,992.6581017971039
15,1,15034,3796,1,0.45598289370536804,0.8369070291519165,0.51842200756073,9.455311486802769,927.7528340816498
15,2,15035,3796,1,0.36487630009651184,0.8101435899734497,0.275482177734375,10.01425144918272,666.6364693641663
15,3,15036,3797,1,0.4575224816799164,0.8316592574119568,0.4460660219192505,8.97210686278799,38.155009746551514
15,4,15037,3796,1,0.5488357543945312,0.8299602270126343,0.6190618276596069,10.54486629980147,943.9566230773926
