algorithm,metric,mean_severe_minus_moderate,standard_deviation,minimum,maximum,number_of_seeds
FedAvg,roc_auc,-0.00587536885089542,0.0043938178331423385,-0.010615407081147943,-0.0019386132127225952,3
FedAvg,pr_auc,-0.01814963015530498,0.008904759550534045,-0.02827827678154582,-0.011551478040335295,3
FedAvg,balanced_accuracy,-0.0035978009053702817,0.0060957307367089115,-0.009924341988420404,0.002237377504666904,3
FedAvg,f1_score,-9.912651820898066e-05,0.005535479491709103,-0.006075232267878761,0.004852635412139206,3
FedAvg,global_update_l2,-0.43878114713736,0.20836507733488277,-0.644771948370277,-0.22812030262947758,3
FedAvg,mean_client_update_l2,6.266071782976451,4.531470111341081,1.152021795989043,9.781789072216352,3
FedProx,roc_auc,-0.003361460064120599,0.0035339637871898083,-0.007441480481653828,-0.001258401512370888,3
FedProx,pr_auc,-0.013019999095397528,0.008676473136987608,-0.02227962534080208,-0.005077229974884689,3
FedProx,balanced_accuracy,-0.0022207356363574218,0.007130608330483776,-0.010085366864395762,0.0038225647947525143,3
FedProx,f1_score,5.260002893751429e-05,0.009619774247778103,-0.009427376652877184,0.009806328307496393,3
FedProx,global_update_l2,-0.09659259083295717,0.16551048287048864,-0.26776557286064717,0.06260488854426605,3
FedProx,mean_client_update_l2,4.3094793219375225,1.5877637587996762,2.778298015595401,5.94834347699044,3
