partition,condition,seed,metric,fedavg_value,fedprox_value,fedprox_minus_fedavg,fedprox_percent_reduction
alpha_05,"Moderate non-IID, alpha=0.5",11,roc_auc,0.8212840944521406,0.8197733022334309,-0.0015107922187096445,
alpha_05,"Moderate non-IID, alpha=0.5",11,pr_auc,0.5903297363677985,0.5878883158725209,-0.002441420495277624,
alpha_05,"Moderate non-IID, alpha=0.5",11,balanced_accuracy,0.7484517142439921,0.7488451990512162,0.00039348480722400936,
alpha_05,"Moderate non-IID, alpha=0.5",11,f1_score,0.5595288178376104,0.5638575152041703,0.0043286973665598305,
alpha_05,"Moderate non-IID, alpha=0.5",11,global_update_l2,5.105296934862005,2.1304592715750434,-2.9748376632869613,58.269630566892204
alpha_05,"Moderate non-IID, alpha=0.5",11,mean_client_update_l2,8.771776604193473,4.05790207522528,-4.713874528968193,53.73910829779521
alpha_05,"Moderate non-IID, alpha=0.5",22,roc_auc,0.8182415925675969,0.8162169415534954,-0.0020246510141014307,
alpha_05,"Moderate non-IID, alpha=0.5",22,pr_auc,0.5851684174686163,0.5808666185408671,-0.004301798927749179,
alpha_05,"Moderate non-IID, alpha=0.5",22,balanced_accuracy,0.743101978474763,0.7404636174554122,-0.0026383610193507767,
alpha_05,"Moderate non-IID, alpha=0.5",22,f1_score,0.5578350065473592,0.5586642599277978,0.0008292533804385993,
alpha_05,"Moderate non-IID, alpha=0.5",22,global_update_l2,4.672461299604,2.413720086905587,-2.2587412126984128,48.34157134463255
alpha_05,"Moderate non-IID, alpha=0.5",22,mean_client_update_l2,12.733088981134523,5.785017777345494,-6.94807120378903,54.56705135794907
alpha_05,"Moderate non-IID, alpha=0.5",33,roc_auc,0.8147491682354753,0.8139994948239184,-0.0007496734115568504,
alpha_05,"Moderate non-IID, alpha=0.5",33,pr_auc,0.5804155064443397,0.5775070472886997,-0.0029084591556399753,
alpha_05,"Moderate non-IID, alpha=0.5",33,balanced_accuracy,0.7435163807291112,0.7402199094629741,-0.00329647126613708,
alpha_05,"Moderate non-IID, alpha=0.5",33,f1_score,0.5556978233034571,0.558055805580558,0.002357982277100934,
alpha_05,"Moderate non-IID, alpha=0.5",33,global_update_l2,4.408998605452441,2.3275113687048026,-2.081487236747638,47.209977208283576
alpha_05,"Moderate non-IID, alpha=0.5",33,mean_client_update_l2,10.167429866932078,5.29486618278254,-4.872563684149538,47.923258364404994
alpha_01,"Severe non-IID, alpha=0.1",11,roc_auc,0.8106686873709926,0.8123318217517771,0.00166313438078447,
alpha_01,"Severe non-IID, alpha=0.1",11,pr_auc,0.5620514595862527,0.5656086905317188,0.0035572309454661166,
alpha_01,"Severe non-IID, alpha=0.1",11,balanced_accuracy,0.7385273722555717,0.7387598321868204,0.00023245993124865194,
alpha_01,"Severe non-IID, alpha=0.1",11,f1_score,0.5534535855697317,0.5636363636363636,0.010182778066631926,
alpha_01,"Severe non-IID, alpha=0.1",11,global_update_l2,4.460524986491728,2.1930641601193095,-2.2674608263724183,50.833945179977825
alpha_01,"Severe non-IID, alpha=0.1",11,mean_client_update_l2,16.636181084917432,10.00624555221572,-6.629935532701712,39.85250881112669
alpha_01,"Severe non-IID, alpha=0.1",22,roc_auc,0.8131695063087812,0.8148324433551584,0.0016629370463772108,
alpha_01,"Severe non-IID, alpha=0.1",22,pr_auc,0.5705492818245824,0.5757893885659824,0.005240106741399964,
alpha_01,"Severe non-IID, alpha=0.1",22,balanced_accuracy,0.7453393559794299,0.7442861822501647,-0.0010531737292651666,
alpha_01,"Severe non-IID, alpha=0.1",22,f1_score,0.5587602238484718,0.5684705882352942,0.009710364386822379,
alpha_01,"Severe non-IID, alpha=0.1",22,global_update_l2,4.444340996974522,2.3291029987230965,-2.1152379982514256,47.593962742538665
alpha_01,"Severe non-IID, alpha=0.1",22,mean_client_update_l2,13.885110777123566,8.563315792940895,-5.321794984182672,38.32734984693534
alpha_01,"Severe non-IID, alpha=0.1",33,roc_auc,0.8128105550227527,0.8127410933115475,-6.946171120514322e-05,
alpha_01,"Severe non-IID, alpha=0.1",33,pr_auc,0.5688640284040044,0.5658039053181939,-0.0030601230858104955,
alpha_01,"Severe non-IID, alpha=0.1",33,balanced_accuracy,0.7404099424967538,0.7398205046235451,-0.0005894378732087535,
alpha_01,"Severe non-IID, alpha=0.1",33,f1_score,0.5605504587155963,0.5486284289276808,-0.011922029787915456,
alpha_01,"Severe non-IID, alpha=0.1",33,global_update_l2,3.965547415040115,2.0597457958441554,-1.9058016191959597,48.05897949846303
alpha_01,"Severe non-IID, alpha=0.1",33,mean_client_update_l2,19.94921893914843,9.496662656009267,-10.452556283139163,52.39581717471166
