partition,condition,metric,mean_fedprox_minus_fedavg,standard_deviation,minimum,maximum,number_of_seeds,mean_fedprox_percent_reduction,standard_deviation_percent_reduction
alpha_05,"Moderate non-IID, alpha=0.5",roc_auc,-0.0014283722147893085,0.0006414723412059577,-0.0020246510141014307,-0.0007496734115568504,3,,
alpha_05,"Moderate non-IID, alpha=0.5",pr_auc,-0.003217226192888926,0.0009678609355015578,-0.004301798927749179,-0.002441420495277624,3,,
alpha_05,"Moderate non-IID, alpha=0.5",balanced_accuracy,-0.001847115826087949,0.0019681198319029623,-0.00329647126613708,0.00039348480722400936,3,,
alpha_05,"Moderate non-IID, alpha=0.5",f1_score,0.002505311008033121,0.0017543677975893708,0.0008292533804385993,0.0043286973665598305,3,,
alpha_05,"Moderate non-IID, alpha=0.5",global_update_l2,-2.438355370911004,0.47298486288919545,-2.9748376632869613,-2.081487236747638,3,51.27372637326945,6.084992435255466
alpha_05,"Moderate non-IID, alpha=0.5",mean_client_update_l2,-5.51150313896892,1.2466320289639552,-6.94807120378903,-4.713874528968193,3,52.07647267338309,3.6205336968380157
alpha_01,"Severe non-IID, alpha=0.1",roc_auc,0.0010855365719855126,0.0010002578594368748,-6.946171120514322e-05,0.00166313438078447,3,,
alpha_01,"Severe non-IID, alpha=0.1",pr_auc,0.0019124048670185283,0.004387772033433881,-0.0030601230858104955,0.005240106741399964,3,,
alpha_01,"Severe non-IID, alpha=0.1",balanced_accuracy,-0.0004700505570750894,0.0006510787016188901,-0.0010531737292651666,0.00023245993124865194,3,,
alpha_01,"Severe non-IID, alpha=0.1",f1_score,0.0026570375551796164,0.01262805199217574,-0.011922029787915456,0.010182778066631926,3,,
alpha_01,"Severe non-IID, alpha=0.1",global_update_l2,-2.0961668146066015,0.18158229007281276,-2.2674608263724183,-1.9058016191959597,3,48.828962473659836,1.7518638318368944
alpha_01,"Severe non-IID, alpha=0.1",mean_client_update_l2,-7.4680956000078496,2.6660949158905423,-10.452556283139163,-5.321794984182672,3,43.52522527759123,7.719914372611737
