algorithm,partition,condition,seed,best_round,selected_threshold,roc_auc,pr_auc,average_precision,balanced_accuracy,f1_score,accuracy,precision,sensitivity,specificity,log_loss,global_update_l2,mean_client_update_l2,training_minutes
FedAvg,alpha_05,"Moderate non-IID, alpha=0.5",11,17,0.5924621820449829,0.8212840944521406,0.5903297363677985,0.5907068097629252,0.7484517142439921,0.5595288178376104,0.7274147357458995,0.43435662965382105,0.7860520094562647,0.7108514190317196,0.6462999300680038,5.105296934862005,8.771776604193473,69.74226570129395
FedAvg,alpha_05,"Moderate non-IID, alpha=0.5",22,20,0.5482327938079834,0.8182415925675969,0.5851684174686163,0.5855070361283528,0.743101978474763,0.5578350065473592,0.736266597240302,0.4422145328719723,0.7553191489361702,0.7308848080133556,0.5595933556185073,4.672461299604,12.733088981134523,612.3531834483147
FedAvg,alpha_05,"Moderate non-IID, alpha=0.5",33,17,0.4850836396217346,0.8147491682354753,0.5804155064443397,0.5807968207812737,0.7435163807291112,0.5556978233034571,0.7289768289507941,0.4348697394789579,0.7695035460992907,0.7175292153589315,0.5440412074306256,4.408998605452441,10.167429866932078,563.5440428972245
FedProx,alpha_05,"Moderate non-IID, alpha=0.5",11,20,0.5740469098091125,0.8197733022334309,0.5878883158725209,0.5882629534717876,0.7488451990512162,0.5638575152041703,0.7386097370476439,0.44574175824175827,0.7671394799054374,0.730550918196995,0.5939003954635689,2.1304592715750434,4.05790207522528,72.3447615146637
FedProx,alpha_05,"Moderate non-IID, alpha=0.5",22,20,0.6277878880500793,0.8162169415534954,0.5808666185408671,0.5812162163157926,0.7404636174554122,0.5586642599277978,0.7453788076021869,0.45182481751824816,0.7316784869976359,0.7492487479131886,0.6134670504576463,2.413720086905587,5.785017777345494,71.11759996414185
FedProx,alpha_05,"Moderate non-IID, alpha=0.5",33,17,0.6021748185157776,0.8139994948239184,0.5775070472886997,0.5778936705510511,0.7402199094629741,0.558055805580558,0.7443374121322572,0.45058139534883723,0.7328605200945626,0.7475792988313856,0.5982124261487426,2.3275113687048026,5.29486618278254,71.89982595046361
FedAvg,alpha_01,"Severe non-IID, alpha=0.1",11,20,0.47684335708618164,0.8106686873709926,0.5620514595862527,0.5630052026039964,0.7385273722555717,0.5534535855697317,0.7357458995053372,0.44078486334968464,0.7434988179669031,0.7335559265442404,0.49534929393357824,4.460524986491728,16.636181084917432,73.64742359717687
FedAvg,alpha_01,"Severe non-IID, alpha=0.1",22,20,0.41798776388168335,0.8131695063087812,0.5705492818245824,0.5709683561816598,0.7453393559794299,0.5587602238484718,0.7331424108305129,0.43940419769803657,0.7671394799054374,0.7235392320534224,0.4754953102631252,4.444340996974522,13.885110777123566,70.32755706707637
FedAvg,alpha_01,"Severe non-IID, alpha=0.1",33,18,0.5201103687286377,0.8128105550227527,0.5688640284040044,0.5693679112683071,0.7404099424967538,0.5605504587155963,0.7505857849518355,0.4580209895052474,0.7222222222222222,0.7585976627712855,0.511198086841448,3.965547415040115,19.94921893914843,70.59309746821721
FedProx,alpha_01,"Severe non-IID, alpha=0.1",11,20,0.6595580577850342,0.8123318217517771,0.5656086905317188,0.5661862034556918,0.7387598321868204,0.5636363636363636,0.7625618328560271,0.4734726688102894,0.6962174940898345,0.7813021702838063,0.6027980161634491,2.1930641601193095,10.00624555221572,74.15432056983312
FedProx,alpha_01,"Severe non-IID, alpha=0.1",22,20,0.6147431135177612,0.8148324433551584,0.5757893885659824,0.576182639834212,0.7442861822501647,0.5684705882352942,0.7612600885186149,0.472243940578577,0.7139479905437353,0.7746243739565943,0.5818022677035662,2.3291029987230965,8.563315792940895,74.92170991500218
FedProx,alpha_01,"Severe non-IID, alpha=0.1",33,18,0.4437215030193329,0.8127410933115475,0.5658039053181939,0.5664151692265726,0.7398205046235451,0.5486284289276808,0.7172611299140849,0.4230769230769231,0.7801418439716312,0.6994991652754591,0.5072951129281141,2.0597457958441554,9.496662656009267,72.92256173292796
