round,client_id,client_seed,images,local_epochs,loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1011,3796,1,0.6355404853820801,0.737983226776123,0.42787837982177734,15.255304565857477,40.89794206619263
1,1,1012,3796,1,0.6151255965232849,0.7595545053482056,0.4822726547718048,14.472265896090189,39.27967572212219
1,2,1013,3797,1,0.621711015701294,0.7554232478141785,0.4727794826030731,14.032834209974466,40.055793046951294
1,3,1014,3796,1,0.621312141418457,0.7558091878890991,0.46442559361457825,14.505116401290335,39.82075309753418
1,4,1015,3796,1,0.6217220425605774,0.7547556161880493,0.4670887887477875,14.464377223331587,39.05634117126465
2,0,2011,3796,1,0.6079828143119812,0.7682968378067017,0.48873353004455566,10.17843254823333,39.97091889381409
2,1,2012,3796,1,0.5962489247322083,0.7814741134643555,0.4979414939880371,11.669850621941915,43.06182503700256
2,2,2013,3797,1,0.5940333604812622,0.782200813293457,0.5341445207595825,11.559067252631655,41.6241090297699
2,3,2014,3796,1,0.6035125255584717,0.7754133343696594,0.4865396022796631,12.597709045265919,40.69401478767395
2,4,2015,3796,1,0.5862448215484619,0.7906171679496765,0.5271875262260437,11.442889284036667,40.92803502082825
