round,client_id,client_seed,images,local_epochs,mu,loss,classification_loss,regularization_loss,proximal_loss_epoch_mean,initial_proximal_loss,final_proximal_loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1022,3796,1,0.01,0.38698095083236694,0.3376968801021576,0.029941918328404427,0.019342239946126938,0.0,0.02415805496275425,0.7232974767684937,0.13056905567646027,11.825415137759522,42.59746527671814
1,1,1023,3797,1,0.01,0.5554832816123962,0.5061711668968201,0.03003513067960739,0.019276699051260948,0.0,0.025105522945523262,0.7502360939979553,0.3268534541130066,12.710893310919108,39.755993127822876
1,2,1024,3796,1,0.01,0.6962029337882996,0.6484284996986389,0.030078092589974403,0.01769629493355751,0.0,0.02290496602654457,0.7634825110435486,0.5969378352165222,13.137639220258157,39.90998888015747
1,3,1025,3796,1,0.01,0.7055122256278992,0.6589250564575195,0.030055712908506393,0.01653144136071205,0.0,0.020571012049913406,0.768576979637146,0.6804822087287903,13.939582431707942,40.02918815612793
1,4,1026,3796,1,0.01,0.5903499722480774,0.5422390103340149,0.030034974217414856,0.018075965344905853,0.0,0.022541943937540054,0.7477471828460693,0.36835718154907227,13.366841502256275,40.56004309654236
2,0,2022,3796,1,0.01,0.3444164991378784,0.30213668942451477,0.029529646039009094,0.012750282883644104,0.0,0.016771527007222176,0.7929728031158447,0.1826547384262085,7.008518923185516,40.190978050231934
2,1,2023,3797,1,0.01,0.525745689868927,0.4843198359012604,0.02967056818306446,0.011755398474633694,0.0,0.014692872762680054,0.7776250839233398,0.37535178661346436,8.412290913976964,40.18826389312744
2,2,2024,3796,1,0.01,0.6739060282707214,0.6332875490188599,0.029642589390277863,0.010976010002195835,0.0,0.015314825810492039,0.7822175025939941,0.6213983297348022,8.150982593000121,40.14833998680115
2,3,2025,3796,1,0.01,0.6872295141220093,0.6442573666572571,0.02967500314116478,0.013297033496201038,0.0,0.01819576881825924,0.784311056137085,0.689749002456665,9.322096791978545,40.154886960983276
2,4,2026,3796,1,0.01,0.5600646138191223,0.5198262929916382,0.029631443321704865,0.010606816969811916,0.0,0.013680472038686275,0.7734565734863281,0.42808765172958374,8.17674624349103,40.16452598571777
3,0,3022,3796,1,0.01,0.33913663029670715,0.29870980978012085,0.029140111058950424,0.011286817491054535,0.0,0.01353437826037407,0.7918967008590698,0.19460469484329224,8.151206109572831,40.217231035232544
3,1,3023,3797,1,0.01,0.5039446949958801,0.46533262729644775,0.029190078377723694,0.009422039613127708,0.0,0.011945251375436783,0.795540452003479,0.4212372899055481,7.8107200031205535,40.143208026885986
3,2,3024,3796,1,0.01,0.6517899036407471,0.6126184463500977,0.029237642884254456,0.009933696128427982,0.0,0.011985729448497295,0.7966532111167908,0.6321893930435181,7.383402437095582,40.140352964401245
3,3,3025,3796,1,0.01,0.6817243099212646,0.640902578830719,0.029231423512101173,0.011590293608605862,0.0,0.013466226868331432,0.7880229949951172,0.711333155632019,9.28658449639041,40.46516299247742
3,4,3026,3796,1,0.01,0.544661283493042,0.5059700012207031,0.029228229075670242,0.00946297962218523,0.0,0.011739581823348999,0.788887619972229,0.42614996433258057,8.637942362829316,40.23500204086304
4,0,4022,3796,1,0.01,0.34246739745140076,0.30330541729927063,0.028701459988951683,0.010460589081048965,0.0,0.010433741845190525,0.7845565676689148,0.17902055382728577,9.843019184657178,40.1755530834198
4,1,4023,3797,1,0.01,0.5000999569892883,0.46339067816734314,0.02874230220913887,0.007967022247612476,0.0,0.010708502493798733,0.7984449863433838,0.4146612882614136,7.976458142436565,40.008312940597534
4,2,4024,3796,1,0.01,0.6531839370727539,0.6140475273132324,0.02883557602763176,0.010301003232598305,0.0,0.011302698403596878,0.7961678504943848,0.6482008695602417,9.029153002714775,40.120023012161255
4,3,4025,3796,1,0.01,0.6796410083770752,0.6396548748016357,0.028815386816859245,0.011170782148838043,0.0,0.012191172689199448,0.7904177904129028,0.719841480255127,7.855658332237716,40.094725131988525
4,4,4026,3796,1,0.01,0.5452507734298706,0.5076218843460083,0.028754673898220062,0.008874258026480675,0.0,0.011825885623693466,0.7873820066452026,0.425235390663147,8.978737043838882,40.16655898094177
5,0,5022,3796,1,0.01,0.33742156624794006,0.2983415424823761,0.028225164860486984,0.010854830965399742,0.0,0.008785481564700603,0.7976008653640747,0.17908121645450592,10.786524755006377,40.01777696609497
5,1,5023,3797,1,0.01,0.5037103891372681,0.4673250913619995,0.028320014476776123,0.008065301924943924,0.0,0.010354888625442982,0.793982982635498,0.4254651665687561,8.184766358571803,40.12029790878296
5,2,5024,3796,1,0.01,0.6554438471794128,0.6177825927734375,0.028357520699501038,0.009304022416472435,0.0,0.011626318097114563,0.7950046062469482,0.6519069075584412,6.900018158934702,40.20505905151367
5,3,5025,3796,1,0.01,0.6734405755996704,0.6341829299926758,0.02834642492234707,0.010911139659583569,0.0,0.012583904899656773,0.7933158278465271,0.7210640907287598,7.461625254319051,40.130608797073364
5,4,5026,3796,1,0.01,0.5314143300056458,0.49551016092300415,0.0282698143273592,0.007634366396814585,0.0,0.009858875535428524,0.7978032827377319,0.45626407861709595,6.610723219918369,40.13111400604248
6,0,6022,3796,1,0.01,0.3350154161453247,0.29670843482017517,0.0277399942278862,0.010567126795649529,0.0,0.010151681490242481,0.8023622035980225,0.18617451190948486,9.601875288845207,39.91794204711914
6,1,6023,3797,1,0.01,0.49546390771865845,0.4606258273124695,0.0278058722615242,0.007032194174826145,0.0,0.008868750184774399,0.8021529316902161,0.4138106107711792,6.638848032325256,40.07610630989075
6,2,6024,3796,1,0.01,0.6431112885475159,0.6066933274269104,0.027836618945002556,0.00858133751899004,0.0,0.01021700631827116,0.8017532229423523,0.6532025337219238,6.823064209758523,40.11781883239746
6,3,6025,3796,1,0.01,0.6725960373878479,0.6341323852539062,0.027862675487995148,0.01060063112527132,0.0,0.01242597121745348,0.7913989424705505,0.7144384980201721,6.832111028628368,40.1024329662323
6,4,6026,3796,1,0.01,0.5379319190979004,0.5019674897193909,0.02781827747821808,0.008145952597260475,0.0,0.008970354683697224,0.7925598621368408,0.4375764727592468,7.078942759358777,40.24288582801819
7,0,7022,3796,1,0.01,0.32974621653556824,0.2936316430568695,0.02717897854745388,0.0089355343952775,0.0,0.008973120711743832,0.8060054779052734,0.2011958658695221,9.481298034194863,40.03845500946045
7,1,7023,3797,1,0.01,0.491759717464447,0.45754650235176086,0.027268806472420692,0.006944234948605299,0.0,0.007993624545633793,0.8032988905906677,0.4496921896934509,6.519921693145161,40.05968999862671
7,2,7024,3796,1,0.01,0.6277801394462585,0.5923381447792053,0.02728666551411152,0.008154976181685925,0.0,0.010409478098154068,0.8113900423049927,0.6555249094963074,5.267297545547041,40.15618181228638
7,3,7025,3796,1,0.01,0.6705477237701416,0.6335349678993225,0.027360279113054276,0.009652686305344105,0.0,0.010197913274168968,0.7949541807174683,0.7272473573684692,6.40806768468756,39.99008083343506
7,4,7026,3796,1,0.01,0.537588894367218,0.5012896656990051,0.02741309069097042,0.008886103518307209,0.0,0.00988374836742878,0.7921470403671265,0.4373708963394165,8.79122362590917,40.163214683532715
8,0,8022,3796,1,0.01,0.3235560655593872,0.2877233624458313,0.02663341909646988,0.009199351072311401,0.0,0.008988373912870884,0.8143634796142578,0.2164856493473053,10.598385558855828,39.96775698661804
8,1,8023,3797,1,0.01,0.4866226017475128,0.4522498548030853,0.026746151968836784,0.00762660289183259,0.0,0.011248193681240082,0.8112509250640869,0.42326420545578003,5.523465761799869,40.06729602813721
